gene,ensembl_id,gene_name,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,n_stage_03_loci,credible_set_ids,stage_03_loci,lead_variants,top_credible_set_id,top_lead_variant,top_locus,study,score_interpretation,selection_rule
MYLK2,ENSG00000101306,myosin light chain kinase 2,0.2965930700302124,0.2965930700302124,0.2965930700302124,1,1,bcc8a3c1bfc87078f7b70f2459b33b33,PD_CHR20_076,rs6060983,bcc8a3c1bfc87078f7b70f2459b33b33,rs6060983,PD_CHR20_076,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
VPS13C,ENSG00000129003,vacuolar protein sorting 13 homolog C,0.2877374291419983,0.2877374291419983,0.2877374291419983,1,1,261b0ccae8c1e19c2c796c1da6d1fbbf,PD_CHR15_060,rs2251086,261b0ccae8c1e19c2c796c1da6d1fbbf,rs2251086,PD_CHR15_060,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FOXA1,ENSG00000129514,forkhead box A1,0.2858948707580566,0.2858948707580566,0.2858948707580566,1,1,15f41db91da3493ebfb88ff76d4c2b41,PD_CHR14_055,rs1956438,15f41db91da3493ebfb88ff76d4c2b41,rs1956438,PD_CHR14_055,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ZCWPW2,ENSG00000206559,zinc finger CW-type and PWWP domain containing 2,0.2858431041240692,0.2858431041240692,0.2858431041240692,1,1,5c969b44e1c4ad2bb3d0a194d0103bd8,PD_CHR03_014,rs6808178,5c969b44e1c4ad2bb3d0a194d0103bd8,rs6808178,PD_CHR03_014,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DGKQ,ENSG00000145214,diacylglycerol kinase theta,0.2635650038719177,0.2635650038719177,0.2635650038719177,1,1,c54fb958fa227c40069441cd9d03aa2a,PD_CHR04_020,rs34311866,c54fb958fa227c40069441cd9d03aa2a,rs34311866,PD_CHR04_020,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
BCL2L1,ENSG00000171552,BCL2 like 1,0.2567904889583587,0.2567904889583587,0.2567904889583587,1,1,bcc8a3c1bfc87078f7b70f2459b33b33,PD_CHR20_076,rs6060983,bcc8a3c1bfc87078f7b70f2459b33b33,rs6060983,PD_CHR20_076,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MICU3,ENSG00000155970,mitochondrial calcium uptake 3,0.2358701527118683,0.2358701527118683,0.2358701527118683,1,1,3f5a3b8f2b1da9113670d0bb3a3bd2b6,PD_CHR08_036,rs34096562,3f5a3b8f2b1da9113670d0bb3a3bd2b6,rs34096562,PD_CHR08_036,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MIPOL1,ENSG00000151338,mirror-image polydactyly 1,0.2262192219495773,0.2262192219495773,0.2262192219495773,1,1,15f41db91da3493ebfb88ff76d4c2b41,PD_CHR14_055,rs1956438,15f41db91da3493ebfb88ff76d4c2b41,rs1956438,PD_CHR14_055,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
C2CD4A,ENSG00000198535,C2 calcium dependent domain containing 4A,0.2195565849542617,0.2195565849542617,0.2195565849542617,1,1,261b0ccae8c1e19c2c796c1da6d1fbbf,PD_CHR15_060,rs2251086,261b0ccae8c1e19c2c796c1da6d1fbbf,rs2251086,PD_CHR15_060,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MCMBP,ENSG00000197771,minichromosome maintenance complex binding protein,0.1930699795484542,0.1930699795484542,0.1930699795484542,1,1,73c7501597a8395fc0fb977252fc6ecf,PD_CHR10_042,rs118117788,73c7501597a8395fc0fb977252fc6ecf,rs118117788,PD_CHR10_042,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PDLIM2,ENSG00000120913,PDZ and LIM domain 2,0.1904719173908233,0.1904719173908233,0.1904719173908233,1,1,0887f1ea47022100566362acd320b7f9,PD_CHR08_037,rs11783129,0887f1ea47022100566362acd320b7f9,rs11783129,PD_CHR08_037,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
INTS2,ENSG00000108506,integrator complex subunit 2,0.1789993643760681,0.1789993643760681,0.1789993643760681,1,1,8845c511b6072aea0ddbd13b5db2a697,PD_CHR17_069,rs61169879,8845c511b6072aea0ddbd13b5db2a697,rs61169879,PD_CHR17_069,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MED13,ENSG00000108510,mediator complex subunit 13,0.1776958703994751,0.1776958703994751,0.1776958703994751,1,1,8845c511b6072aea0ddbd13b5db2a697,PD_CHR17_069,rs61169879,8845c511b6072aea0ddbd13b5db2a697,rs61169879,PD_CHR17_069,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CYLD,ENSG00000083799,CYLD lysine 63 deubiquitinase,0.169330820441246,0.169330820441246,0.169330820441246,1,1,c4324116aa13f50cded13161dc92c6bd,PD_CHR16_062,rs34133110,c4324116aa13f50cded13161dc92c6bd,rs34133110,PD_CHR16_062,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DCUN1D1,ENSG00000043093,defective in cullin neddylation 1 domain containing 1,0.163753792643547,0.163753792643547,0.163753792643547,1,1,6b4412018b3b46e39eaf2a795e0c86ff,PD_CHR03_019,rs10513789,6b4412018b3b46e39eaf2a795e0c86ff,rs10513789,PD_CHR03_019,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
RORA,ENSG00000069667,RAR related orphan receptor A,0.1622077226638794,0.1622077226638794,0.1622077226638794,1,1,261b0ccae8c1e19c2c796c1da6d1fbbf,PD_CHR15_060,rs2251086,261b0ccae8c1e19c2c796c1da6d1fbbf,rs2251086,PD_CHR15_060,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DDRGK1,ENSG00000198171,DDRGK domain containing 1,0.1576443612575531,0.1576443612575531,0.1576443612575531,1,1,37d08e12e028cbde84b497ef185122bd,PD_CHR20_075,rs4815573,37d08e12e028cbde84b497ef185122bd,rs4815573,PD_CHR20_075,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
NDUFAF2,ENSG00000164182,NADH:ubiquinone oxidoreductase complex assembly factor 2,0.1519088149070739,0.1519088149070739,0.1519088149070739,1,1,9840f5d6f7096f80fa7acf2b9bd26d23,PD_CHR05_027,rs1867598,9840f5d6f7096f80fa7acf2b9bd26d23,rs1867598,PD_CHR05_027,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
WNT3,ENSG00000108379,Wnt family member 3,0.1518237739801406,0.1518237739801406,0.1518237739801406,1,1,02880e99c75d978283e8e2b3d0d72fba,PD_CHR17_068,rs199453,02880e99c75d978283e8e2b3d0d72fba,rs199453,PD_CHR17_068,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
BRIP1,ENSG00000136492,BRCA1 interacting DNA helicase 1,0.1487205922603607,0.1487205922603607,0.1487205922603607,1,1,8845c511b6072aea0ddbd13b5db2a697,PD_CHR17_069,rs61169879,8845c511b6072aea0ddbd13b5db2a697,rs61169879,PD_CHR17_069,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MYOC,ENSG00000034971,myocilin,0.1474305689334869,0.1474305689334869,0.1474305689334869,1,1,65fe3ec96504bae9043f65f6bcd412c7,PD_CHR01_006,rs10903,65fe3ec96504bae9043f65f6bcd412c7,rs10903,PD_CHR01_006,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
AMPD3,ENSG00000133805,adenosine monophosphate deaminase 3,0.145731434226036,0.145731434226036,0.145731434226036,1,1,3e13e700e702859efc1893b1447cbe74,PD_CHR11_043,rs4910150,3e13e700e702859efc1893b1447cbe74,rs4910150,PD_CHR11_043,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
STBD1,ENSG00000118804,starch binding domain 1,0.1455356031656265,0.1455356031656265,0.1455356031656265,1,1,1e924521aa2b80f1e6f0db4da634f37c,PD_CHR04_023,rs6854006,1e924521aa2b80f1e6f0db4da634f37c,rs6854006,PD_CHR04_023,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CCDC18,ENSG00000122483,coiled-coil domain containing 18,0.1441077291965484,0.1441077291965484,0.1441077291965484,1,1,98ab9e7e0641b4973c5ce38fe0902af3,PD_CHR01_001,rs11164870,98ab9e7e0641b4973c5ce38fe0902af3,rs11164870,PD_CHR01_001,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
LRRK2,ENSG00000188906,leucine rich repeat kinase 2,0.1440357118844986,0.1440357118844986,0.1440357118844986,1,1,2c3245c431e1080e62236340d5909691,PD_CHR12_048,rs28370650,2c3245c431e1080e62236340d5909691,rs28370650,PD_CHR12_048,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
NEK1,ENSG00000137601,NIMA related kinase 1,0.1384527385234832,0.1384527385234832,0.1384527385234832,1,1,27fbf89e6668fc09644f795c52ea42f7,PD_CHR04_026,rs7434295,27fbf89e6668fc09644f795c52ea42f7,rs7434295,PD_CHR04_026,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SLC45A3,ENSG00000158715,solute carrier family 45 member 3,0.1365202218294143,0.1365202218294143,0.1365202218294143,1,1,8bae19697cbddf937ba849a52978d268,PD_CHR01_007,rs12118655,8bae19697cbddf937ba849a52978d268,rs12118655,PD_CHR01_007,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CTF1,ENSG00000150281,cardiotrophin 1,0.1332284361124038,0.1332284361124038,0.1332284361124038,1,1,09c07031cb2613c59c833fc30a9bf279,PD_CHR16_061,rs1870293,09c07031cb2613c59c833fc30a9bf279,rs1870293,PD_CHR16_061,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MTF2,ENSG00000143033,metal response element binding transcription factor 2,0.1314258724451065,0.1314258724451065,0.1314258724451065,1,1,98ab9e7e0641b4973c5ce38fe0902af3,PD_CHR01_001,rs11164870,98ab9e7e0641b4973c5ce38fe0902af3,rs11164870,PD_CHR01_001,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SNX20,ENSG00000167208,sorting nexin 20,0.1277837306261062,0.1277837306261062,0.1277837306261062,1,1,c4324116aa13f50cded13161dc92c6bd,PD_CHR16_062,rs34133110,c4324116aa13f50cded13161dc92c6bd,rs34133110,PD_CHR16_062,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
IQGAP2,ENSG00000145703,IQ motif containing GTPase activating protein 2,0.123767502605915,0.123767502605915,0.123767502605915,1,1,6a25b7b9810bfcdb7a432396e5937024,PD_CHR05_028,rs246815,6a25b7b9810bfcdb7a432396e5937024,rs246815,PD_CHR05_028,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DTX3L,ENSG00000163840,deltex E3 ubiquitin ligase 3L,0.1236892640590667,0.1236892640590667,0.1236892640590667,1,1,1b2b435b10f0de149a177f702c0afad0,PD_CHR03_016,rs16833168,1b2b435b10f0de149a177f702c0afad0,rs16833168,PD_CHR03_016,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
YARS2,ENSG00000139131,tyrosyl-tRNA synthetase 2,0.1202353090047836,0.1202353090047836,0.1202353090047836,1,1,97a2c12e26b0765502779cb2b646396c,PD_CHR12_046,rs148163066,97a2c12e26b0765502779cb2b646396c,rs148163066,PD_CHR12_046,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MMRN1,ENSG00000138722,multimerin 1,0.1140309423208236,0.1140309423208236,0.1140309423208236,1,1,63c3328883271922c3819609f21e52f1,PD_CHR04_024,rs356182,63c3328883271922c3819609f21e52f1,rs356182,PD_CHR04_024,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
WNT9B,ENSG00000158955,Wnt family member 9B,0.1093313992023468,0.1093313992023468,0.1093313992023468,1,1,02880e99c75d978283e8e2b3d0d72fba,PD_CHR17_068,rs199453,02880e99c75d978283e8e2b3d0d72fba,rs199453,PD_CHR17_068,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FCGR2B,ENSG00000072694,Fc gamma receptor IIb,0.1046146750450134,0.1046146750450134,0.1046146750450134,1,1,b7521a623d84c257ed1519ccfb493ec4,PD_CHR01_005,rs6658353,b7521a623d84c257ed1519ccfb493ec4,rs6658353,PD_CHR01_005,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
NUCKS1,ENSG00000069275,nuclear casein kinase and cyclin dependent kinase substrate 1,0.1008259132504463,0.1008259132504463,0.1008259132504463,1,1,8bae19697cbddf937ba849a52978d268,PD_CHR01_007,rs12118655,8bae19697cbddf937ba849a52978d268,rs12118655,PD_CHR01_007,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
IP6K2,ENSG00000068745,inositol hexakisphosphate kinase 2,0.0962643772363662,0.0962643772363662,0.0962643772363662,1,1,68d83f61b8246a33a33777add244e241,PD_CHR03_015,rs12497850,68d83f61b8246a33a33777add244e241,rs12497850,PD_CHR03_015,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DPM3,ENSG00000179085,"dolichyl-phosphate mannosyltransferase subunit 3, regulatory",0.0954490676522255,0.0954490676522255,0.0954490676522255,1,1,32b726309ce69671e5eadf6258ed8a7e,PD_CHR01_002,rs35682329,32b726309ce69671e5eadf6258ed8a7e,rs35682329,PD_CHR01_002,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CNOT7,ENSG00000198791,CCR4-NOT transcription complex subunit 7,0.0932418778538703,0.0932418778538703,0.0932418778538703,1,1,3f5a3b8f2b1da9113670d0bb3a3bd2b6,PD_CHR08_036,rs34096562,3f5a3b8f2b1da9113670d0bb3a3bd2b6,rs34096562,PD_CHR08_036,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CCDC178,ENSG00000166960,coiled-coil domain containing 178,0.0921255201101303,0.0921255201101303,0.0921255201101303,1,1,2f9e25d1a8195d90781eb14bac1b9e04,PD_CHR18_071,rs8091977,2f9e25d1a8195d90781eb14bac1b9e04,rs8091977,PD_CHR18_071,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CMC1,ENSG00000187118,C-X9-C motif containing 1,0.0913318544626236,0.0913318544626236,0.0913318544626236,1,1,5c969b44e1c4ad2bb3d0a194d0103bd8,PD_CHR03_014,rs6808178,5c969b44e1c4ad2bb3d0a194d0103bd8,rs6808178,PD_CHR03_014,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
COX4I2,ENSG00000131055,cytochrome c oxidase subunit 4I2,0.0888595879077911,0.0888595879077911,0.0888595879077911,1,1,bcc8a3c1bfc87078f7b70f2459b33b33,PD_CHR20_076,rs6060983,bcc8a3c1bfc87078f7b70f2459b33b33,rs6060983,PD_CHR20_076,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FASTKD5,ENSG00000215251,FAST kinase domains 5,0.0885050073266029,0.0885050073266029,0.0885050073266029,1,1,37d08e12e028cbde84b497ef185122bd,PD_CHR20_075,rs4815573,37d08e12e028cbde84b497ef185122bd,rs4815573,PD_CHR20_075,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
UBOX5,ENSG00000185019,U-box domain containing 5,0.0885050073266029,0.0885050073266029,0.0885050073266029,1,1,37d08e12e028cbde84b497ef185122bd,PD_CHR20_075,rs4815573,37d08e12e028cbde84b497ef185122bd,rs4815573,PD_CHR20_075,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DR1,ENSG00000117505,down-regulator of transcription 1,0.0850554704666137,0.0850554704666137,0.0850554704666137,1,1,98ab9e7e0641b4973c5ce38fe0902af3,PD_CHR01_001,rs11164870,98ab9e7e0641b4973c5ce38fe0902af3,rs11164870,PD_CHR01_001,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
VPS37A,ENSG00000155975,VPS37A subunit of ESCRT-I,0.0843638330698013,0.0843638330698013,0.0843638330698013,1,1,3f5a3b8f2b1da9113670d0bb3a3bd2b6,PD_CHR08_036,rs34096562,3f5a3b8f2b1da9113670d0bb3a3bd2b6,rs34096562,PD_CHR08_036,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
P4HTM,ENSG00000178467,"prolyl 4-hydroxylase, transmembrane",0.0821254402399063,0.0821254402399063,0.0821254402399063,1,1,68d83f61b8246a33a33777add244e241,PD_CHR03_015,rs12497850,68d83f61b8246a33a33777add244e241,rs12497850,PD_CHR03_015,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ARL17A,ENSG00000185829,ARF like GTPase 17A,0.0748985931277275,0.0748985931277275,0.0748985931277275,1,1,02880e99c75d978283e8e2b3d0d72fba,PD_CHR17_068,rs199453,02880e99c75d978283e8e2b3d0d72fba,rs199453,PD_CHR17_068,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CERS6,ENSG00000172292,ceramide synthase 6,0.0747304856777191,0.0747304856777191,0.0747304856777191,1,1,d8eff9af6b3bf50e76800c339580e801,PD_CHR02_012,rs12987123,d8eff9af6b3bf50e76800c339580e801,rs12987123,PD_CHR02_012,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DCAF16,ENSG00000163257,DDB1 and CUL4 associated factor 16,0.0746670886874198,0.0746670886874198,0.0746670886874198,1,1,43cca9beb1307ea30018f9b3e6cb0394,PD_CHR04_022,rs7673321,43cca9beb1307ea30018f9b3e6cb0394,rs7673321,PD_CHR04_022,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MTMR7,ENSG00000003987,myotubularin related protein 7,0.0743675380945205,0.0743675380945205,0.0743675380945205,1,1,3f5a3b8f2b1da9113670d0bb3a3bd2b6,PD_CHR08_036,rs34096562,3f5a3b8f2b1da9113670d0bb3a3bd2b6,rs34096562,PD_CHR08_036,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FAM171A2,ENSG00000161682,family with sequence similarity 171 member A2,0.0734663009643554,0.0734663009643554,0.0734663009643554,1,1,df2fab084418fef0861a6ed0373038ee,PD_CHR17_065,rs850731,df2fab084418fef0861a6ed0373038ee,rs850731,PD_CHR17_065,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ACBD7,ENSG00000176244,acyl-CoA binding domain containing 7,0.0733931586146354,0.0733931586146354,0.0733931586146354,1,1,4fe27e0d56a20ce70103e1d88a7441d6,PD_CHR10_040,rs13664,4fe27e0d56a20ce70103e1d88a7441d6,rs13664,PD_CHR10_040,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FOXS1,ENSG00000179772,forkhead box S1,0.0717954486608505,0.0717954486608505,0.0717954486608505,1,1,bcc8a3c1bfc87078f7b70f2459b33b33,PD_CHR20_076,rs6060983,bcc8a3c1bfc87078f7b70f2459b33b33,rs6060983,PD_CHR20_076,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
OLAH,ENSG00000152463,oleoyl-ACP hydrolase,0.0715357065200805,0.0715357065200805,0.0715357065200805,1,1,4fe27e0d56a20ce70103e1d88a7441d6,PD_CHR10_040,rs13664,4fe27e0d56a20ce70103e1d88a7441d6,rs13664,PD_CHR10_040,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
BIN3,ENSG00000147439,bridging integrator 3,0.0713214352726936,0.0713214352726936,0.0713214352726936,1,1,0887f1ea47022100566362acd320b7f9,PD_CHR08_037,rs11783129,0887f1ea47022100566362acd320b7f9,rs11783129,PD_CHR08_037,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
METTL13,ENSG00000010165,"methyltransferase 13, eEF1A N-terminus and K55",0.0712111964821815,0.0712111964821815,0.0712111964821815,1,1,65fe3ec96504bae9043f65f6bcd412c7,PD_CHR01_006,rs10903,65fe3ec96504bae9043f65f6bcd412c7,rs10903,PD_CHR01_006,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
NUP42,ENSG00000136243,nucleoporin 42,0.0711012184619903,0.0711012184619903,0.0711012184619903,1,1,9120864c91ae901e3ae7b15b16c15603,PD_CHR07_034,rs199351,9120864c91ae901e3ae7b15b16c15603,rs199351,PD_CHR07_034,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
WDR5B,ENSG00000196981,WD repeat domain 5B,0.0709794387221336,0.0709794387221336,0.0709794387221336,1,1,1b2b435b10f0de149a177f702c0afad0,PD_CHR03_016,rs16833168,1b2b435b10f0de149a177f702c0afad0,rs16833168,PD_CHR03_016,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
RPP38,ENSG00000152464,ribonuclease P/MRP subunit p38,0.0709610506892204,0.0709610506892204,0.0709610506892204,1,1,4fe27e0d56a20ce70103e1d88a7441d6,PD_CHR10_040,rs13664,4fe27e0d56a20ce70103e1d88a7441d6,rs13664,PD_CHR10_040,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
B3GALT1,ENSG00000172318,"beta-1,3-galactosyltransferase 1",0.0701578333973884,0.0701578333973884,0.0701578333973884,1,1,d8eff9af6b3bf50e76800c339580e801,PD_CHR02_012,rs12987123,d8eff9af6b3bf50e76800c339580e801,rs12987123,PD_CHR02_012,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ANK2,ENSG00000145362,ankyrin 2,0.0663385838270187,0.0663385838270187,0.0663385838270187,1,1,d204fd6006cfd62423c05e28743e170b,PD_CHR04_025,rs13117519,d204fd6006cfd62423c05e28743e170b,rs13117519,PD_CHR04_025,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
IL1RL2,ENSG00000115598,interleukin 1 receptor like 2,0.0639316365122795,0.0639316365122795,0.0639316365122795,1,1,fc4abf134a9277d1a61486c08d7dfbfe,PD_CHR02_010,rs11683001,fc4abf134a9277d1a61486c08d7dfbfe,rs11683001,PD_CHR02_010,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MIX23,ENSG00000160124,mitochondrial matrix import factor 23,0.0616993047297,0.0616993047297,0.0616993047297,1,1,1b2b435b10f0de149a177f702c0afad0,PD_CHR03_016,rs16833168,1b2b435b10f0de149a177f702c0afad0,rs16833168,PD_CHR03_016,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
TPX2,ENSG00000088325,TPX2 microtubule nucleation factor,0.0610919557511806,0.0610919557511806,0.0610919557511806,1,1,bcc8a3c1bfc87078f7b70f2459b33b33,PD_CHR20_076,rs6060983,bcc8a3c1bfc87078f7b70f2459b33b33,rs6060983,PD_CHR20_076,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
NOL4,ENSG00000101746,nucleolar protein 4,0.0601187869906425,0.0601187869906425,0.0601187869906425,1,1,2f9e25d1a8195d90781eb14bac1b9e04,PD_CHR18_071,rs8091977,2f9e25d1a8195d90781eb14bac1b9e04,rs8091977,PD_CHR18_071,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CNTLN,ENSG00000044459,centlein,0.0592545457184314,0.0592545457184314,0.0592545457184314,1,1,1d050957d0bcfbfc986f88f4ae76cd6d,PD_CHR09_038,rs13294100,1d050957d0bcfbfc986f88f4ae76cd6d,rs13294100,PD_CHR09_038,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
WDR6,ENSG00000178252,WD repeat domain 6,0.0575480684638023,0.0575480684638023,0.0575480684638023,1,1,68d83f61b8246a33a33777add244e241,PD_CHR03_015,rs12497850,68d83f61b8246a33a33777add244e241,rs12497850,PD_CHR03_015,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
NTPCR,ENSG00000135778,"nucleoside-triphosphatase, cancer-related",0.0572280026972293,0.0572280026972293,0.0572280026972293,1,1,40d678df691f623cbc9d6dba734fcb27,PD_CHR01_009,rs1326293,40d678df691f623cbc9d6dba734fcb27,rs1326293,PD_CHR01_009,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ARIH2,ENSG00000177479,ariadne RBR E3 ubiquitin protein ligase 2,0.0570767857134342,0.0570767857134342,0.0570767857134342,1,1,68d83f61b8246a33a33777add244e241,PD_CHR03_015,rs12497850,68d83f61b8246a33a33777add244e241,rs12497850,PD_CHR03_015,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CCDC90B,ENSG00000137500,coiled-coil domain containing 90B,0.0561612658202648,0.0561612658202648,0.0561612658202648,1,1,205d43eb159b23bbe66b421d895af3c5,PD_CHR11_044,rs6592142,205d43eb159b23bbe66b421d895af3c5,rs6592142,PD_CHR11_044,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ZDHHC2,ENSG00000104219,zDHHC palmitoyltransferase 2,0.0558798909187316,0.0558798909187316,0.0558798909187316,1,1,3f5a3b8f2b1da9113670d0bb3a3bd2b6,PD_CHR08_036,rs34096562,3f5a3b8f2b1da9113670d0bb3a3bd2b6,rs34096562,PD_CHR08_036,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PRSS3,ENSG00000010438,serine protease 3,0.0544609166681766,0.0544609166681766,0.0544609166681766,1,1,ffbb9cad4773b611b2c63babbd5259d8,PD_CHR09_039,rs6476434,ffbb9cad4773b611b2c63babbd5259d8,rs6476434,PD_CHR09_039,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
